genus	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
Labrenzia	0	0	0	0	22	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Laccaria	0	12	1	4	7	6	3	0	7	6	2	7	1	2	2	6	7	10	7	3	10	4	2	10	1
Lachancea	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnoclostridium	0	110	19	4833	1139	17158	0	5374	95	0	150	85	88	88	3677	236	2	465	455	314	35	1548	76712	904	309
Lacinutrix	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus	0	106	140	149	774	12	11	513	0	6	5	9	17	13	32	0	0	3	0	79	9	7	423	13	0
Lactococcus	11	2	23	6	0	69	5	44	2	9	0	13	505	4	98	10	32	14	4	13	6	12	24	27	10
Lambdalikevirus	1890	199	257	464	314	228	9677	1910	256	41	270	622	2303	202	1771	250	1712	1050	42	720	1100	98	335	1423	2293
Laribacter	0	0	0	334	3182	573	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	388	2	0
Lawsonia	0	0	0	41	0	0	10	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	417	0	0
Leadbetterella	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Legionella	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leifsonia	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4
Lentisphaera	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leptosira	0	0	0	0	12	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	159	0	1
Leptothrix	0	0	0	0	3670	149	11	357	0	0	0	0	0	0	0	0	22	7	0	7	0	1	0	0	0
Leptotrichia	33	0	4	7	1313	8	0	2	0	0	3	1	0	0	294	13	4	0	9	0	1	5	4001	0	0
Leuconostoc	1	0	0	20	83	0	0	1	0	2	0	4	0	0	1	0	0	0	0	0	0	2	7	0	1
Limnobacter	0	0	0	8	537	76	0	31	0	1	0	0	3	0	0	0	2	0	0	0	0	0	18	0	0
Listeria	0	0	0	30	13	1	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	7	18	0	0
Lodderomyces	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0
Lymphocryptovirus	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lyngbya	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Lysinibacillus	0	0	0	0	1	1	0	0	2	21	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Macrococcus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Mageeibacillus	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0
Magnaporthiopsis	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0
Magnetospirillum	0	1	14	0	2	20	77	0	22	7	0	41	29	12	174	20	54	18	40	56	38	245	60	14	26
Mahella	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malassezia	17	5	6	6	18	16	17	17	6	15	15	14	1	21	54	10	10	20	13	6	16	17	6	13	4
Mannheimia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0
Maricaulis	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
Marinitoga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Marinobacter	0	0	0	0	0	1	3	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	5	0
Marinomonas	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Marvinbryantia	0	2	8	222	4728	328	5	43	0	11	0	4	395	0	37	1	8	0	1	8	0	5	145	9	0
Mastadenovirus	7	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	3	9
Megasphaera	0	0	0	0	1	43	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0
Meiothermus	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	1	55	0	0
Melioribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
Melissococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Mesoplasma	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium	0	6	0	1	2	4	4	5	2	2	3	3	2	1	12	3	4	0	2	0	6	3	6	5	7
Methanopyrus	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Methanosaeta	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanosarcina	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
